run_id,step,timestamp,mode,source,target_pitch_mm,measured_pitch_mm,confidence,previous_feed_speed_mm_s,commanded_feed_speed_mm_s,speed_delta_mm_s,correction_gain,command_sent,timestamp_command_sent,mock_actual_feed_speed_mm_s,timestamp_motor_feedback_received,motor_response_time_ms,next_pitch_mm,pitch_change_mm,pitch_sensitivity_per_feed_speed,blocked_reason,resulting_mode
c67cf559,1,258523.8931165,HIL,HIL,0.25,0.275,HIGH,5.0,4.545454545454545,-0.45454545454545503,1.0,True,258523.8931165,,,,0.3,0.024999999999999967,-0.05499999999999987,,AUTO
c67cf559,2,258544.949663708,HIL,HIL,0.25,0.3,HIGH,4.545454545454545,3.7878787878787876,-0.7575757575757573,1.0,True,258544.949663708,,,,0.275,-0.024999999999999967,0.03299999999999997,,AUTO
c67cf559,3,258546.683982,HIL,HIL,0.25,0.275,HIGH,3.7878787878787876,3.4435261707988976,-0.34435261707989007,1.0,True,258546.683982,,,,0.25,-0.025000000000000022,0.07260000000000001,,AUTO
c67cf559,4,258547.615917,HIL,HIL,0.25,0.25,HIGH,3.4435261707988976,3.4435261707988976,0.0,1.0,False,,,,,,,,[HIL] error 0.00% within 2% deadband → no correction,AUTO
c67cf559,5,258548.216041708,HIL,HIL,0.25,0.275,HIGH,3.4435261707988976,3.1304783370899067,-0.3130478337089908,1.0,True,258548.216041708,,,,0.3,0.024999999999999967,-0.07985999999999988,,AUTO
c67cf559,6,258549.286343833,HIL,HIL,0.25,0.3,HIGH,3.1304783370899067,2.608731947574922,-0.5217463895149845,1.0,True,258549.286343833,,,,0.25,-0.04999999999999999,0.09583199999999999,,AUTO
c67cf559,7,258555.617036625,HIL,HIL,0.25,0.25,HIGH,2.608731947574922,2.608731947574922,0.0,1.0,False,,,,,,,,[HIL] error 0.00% within 2% deadband → no correction,AUTO
c67cf559,8,258556.670551291,HIL,HIL,0.25,0.25,HIGH,2.608731947574922,2.608731947574922,0.0,1.0,False,,,,,,,,[HIL] error 0.00% within 2% deadband → no correction,AUTO
c67cf559,9,258557.986968041,HIL,HIL,0.25,0.2,HIGH,2.608731947574922,3.2609149344686528,0.6521829868937306,1.0,True,258557.986968041,,,,0.2,0.0,0.0,,AUTO
c67cf559,10,258558.625333208,HIL,HIL,0.25,0.2,HIGH,3.2609149344686528,4.076143668085816,0.8152287336171633,1.0,True,258558.625333208,,,,0.2,0.0,0.0,,AUTO
c67cf559,11,258559.070785166,HIL,HIL,0.25,0.2,HIGH,4.076143668085816,5.09517958510727,1.019035917021454,1.0,True,258559.070785166,,,,0.2,0.0,0.0,,AUTO
c67cf559,12,258559.253816083,HIL,HIL,0.25,0.2,HIGH,5.09517958510727,6.368974481384088,1.2737948962768177,1.0,True,258559.253816083,,,,0.275,0.07500000000000001,0.05887918080000001,,AUTO
c67cf559,13,258560.570403,HIL,HIL,0.25,0.275,HIGH,6.368974481384088,5.789976801258262,-0.5789976801258261,1.0,True,258560.570403,,,,0.275,0.0,-0.0,,AUTO
c67cf559,14,258561.053696958,HIL,HIL,0.25,0.275,HIGH,5.789976801258262,5.263615273871147,-0.526361527387115,1.0,True,258561.053696958,,,,0.225,-0.05000000000000002,0.094991745024,,AUTO
c67cf559,15,258607.197159916,HIL,HIL,0.25,0.225,HIGH,5.263615273871147,5.848461415412386,0.5848461415412389,1.0,True,258607.197159916,,,,0.2,-0.024999999999999994,-0.04274628526079997,,AUTO
c67cf559,16,258611.437611375,HIL,HIL,0.25,0.2,HIGH,5.848461415412386,7.310576769265483,1.4621153538530969,1.0,True,258611.437611375,,,,0.3,0.09999999999999998,0.06839405641727997,,AUTO
c67cf559,17,258614.661341875,HIL,HIL,0.25,0.3,HIGH,7.310576769265483,6.092147307721236,-1.2184294615442468,1.0,True,258614.661341875,,,,,,,,AUTO
